danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,playlist_genre,key,mode,release_month,binary_outcome,bin_year
0.9303411022018794,1.0605595784001312,0.8081498277155417,0.5855081390384348,-0.5537543027372862,-0.3918256394405536,0.19270986934034381,-0.42838760074524673,0.037093452085894936,-1.3507942773492219,pop,10,0,10,1,recent
-0.09172767318277966,0.7608317459939127,0.8611768235020804,-0.6470089899564736,-0.5313125505024082,-0.3917400643499203,-0.9529584412527351,0.32693867540342286,0.11593122556493836,-0.5356315273943025,pop,6,1,8,1,recent
-0.3043728546386485,0.3575615714837286,0.742277783260214,0.029705319792313074,-0.3490855223551981,-0.3918256394405536,0.038756680906783435,0.08796539029423953,0.2643688404777158,-0.4248867527358492,pop,5,0,6,1,recent
-0.09172767318277966,1.6000696767313236,1.1526606202169054,-0.4822183295133252,-0.4217967995962031,-0.35613351621161177,-0.5257383433496049,-0.13393837445000262,0.11110820883445535,-0.987910305508601,pop,4,0,9,1,recent
0.6628197448864315,0.608243031314384,0.7281152937023184,-0.4948945341627982,-0.38364582079691034,-0.3917572653731632,-0.5129089109801415,-0.1296709943587672,-0.0340645947530725,-0.9017409162378381,pop,0,0,1,1,recent
-0.8119774813397539,1.4038841864290714,1.258714611789983,-0.718190754526591,-0.7924941513623663,-0.3449528511037505,0.45571323291434296,-1.665927827203519,0.26073302786550584,0.6572488380796171,pop,1,0,11,0,recent
0.7725720966055896,0.39570875015361096,-0.754335066764831,-0.49099416350142194,-0.7769599704653838,-0.3918094704787053,-0.5000794786106781,-0.9106015510548494,0.7078637789099443,-0.36918691190378855,pop,6,1,4,1,recent
-0.02999197534075323,0.668188597795627,0.6144860170168783,-0.5924038006972056,-0.7189255991859889,-0.3903334506742352,-0.8047784973854332,-0.49666568220501334,0.18627306957259315,-0.3701528997371488,pop,10,0,11,1,recent
-0.4484228162700435,-0.0075614243565737815,0.6829929432504191,-0.6899130672316128,0.039605626352890354,-0.39088388341800684,-0.564226640457995,-1.2178529176237998,0.1558509640418561,-0.5920190205823146,pop,3,0,10,1,recent
-2.046691438180282,0.49380149530473694,0.8101259890492016,0.5562553590781125,-0.7287999701693353,-0.3918256394405536,-0.9972199829273837,-1.4568262027329832,-1.5030070903433055,0.1819009606906645,pop,5,0,12,1,recent
-0.7639608274626223,0.7717309398995934,0.5054677834433109,-0.6440837119604413,-0.6444189817661937,-0.39146226782454807,0.5519339756853183,-0.0059169717129398435,-0.10893265446164177,-0.7566626418072416,pop,0,0,11,1,recent
0.5599269151497208,-1.0811320240661184,-1.4753045933283924,-0.5543751867487867,1.0674378787103067,-0.39169147145925926,-0.39102930347023945,-1.6701952072947543,0.1908363854022033,-1.4330669699362604,pop,8,1,11,1,recent
0.6765387888513262,0.7717309398995934,0.7794954883774743,-0.6889379745662687,-0.7734141736122729,-0.3449528511037505,-0.6373544049639362,-0.21075121609224004,0.11300031539795247,0.8714198016081842,pop,6,0,8,1,recent
0.6491007009215367,1.1150555479285345,0.30982781141098786,-0.67723686258214,-0.6498050023025645,-0.3918256394405536,-0.5449824919038,1.0267890103660322,-0.22030724080709493,-0.15608017225943188,pop,3,0,8,1,recent
-0.31809189860354325,1.3984345894762311,1.055499354645297,-0.058053020088653574,-0.7220674444988718,0.12850531365606807,-0.7598754840923114,-0.04005601244282325,0.18653277047346495,0.06385397291901335,pop,7,0,12,1,recent
-0.31809189860354325,1.6164184675898445,1.4797153209376073,-0.5777774107170445,-0.3818504806181201,-0.3832251278191218,-0.9394875372647985,0.6555269424285507,0.14995204357918918,-0.6211132643091141,pop,9,0,7,1,recent
0.17579368413266822,0.47745270444621596,-0.033036179978992816,0.23447477951456847,-0.26111385359447603,-0.3918003109338285,0.2119540178945389,-0.17234479527112145,0.1905395843726353,-0.49057392540434636,pop,1,0,9,1,recent
0.41587695351832576,0.559196658738821,0.335188548526289,-0.759144646471042,-0.7036652076662718,-0.36537906620465094,0.9175727982150244,-0.9319384515110265,0.11348261707100092,-0.2713929232824193,pop,5,0,11,1,recent
0.2512484259395886,0.8916220728620807,0.8773154743936358,-0.1321600626548031,-0.5209893444743642,-0.39174608470805533,0.30176004448078236,-0.24489025682212345,0.037798354531119,-0.6337365968433641,pop,2,1,9,1,recent
0.834307794447616,0.9188700576262824,-0.18783548444901277,0.9365414985623008,-0.7243116197223597,-0.34151264645517776,-0.9972199829273837,0.23305631339624353,0.29679435295803747,0.7638349532520788,pop,4,0,3,1,recent
1.1018291517630632,0.7608317459939127,0.41851668476227855,-0.3086518350820802,-0.7907392063375989,-0.2959299348615894,-1.1062701580678225,1.9144040693429998,0.03790965491720706,0.47947433139104734,pop,11,1,10,1,recent
0.8960434922896425,0.4393055257763336,0.4405838196548131,-0.6752866772514518,-0.6349934458275449,-0.2843192441726566,-1.0677818609594323,-0.2192859762747109,0.1498036430644049,-0.16146678238105092,pop,8,1,10,1,recent
-1.9643771743909133,0.4611039135876949,0.7620393965968124,0.44899516589026445,-0.77211255198265,-0.3918256394405536,-0.8753403754174818,-0.9447405917847328,-1.2221962162431266,-0.5554097189654752,pop,6,1,9,1,recent
